Picture #,Classification,,
0,B,,A=Melanoma B=Not Melanoma
1,A,,
2,B,,
3,A,,
4,A,,
5,A,,
6,B,,
7,B,,
8,B,,
9,A,,
10,B,,
11,A,,
12,A,,
13,A,,
14,A,,
15,B,,
16,A,,
17,B,,
18,A,,
19,B,,
20,A,,
21,A,,
22,A,,
23,B,,
24,A,,
25,B,,
26,A,,
27,B,,
28,A,,
29,B,,
30,A,,
31,A,,
32,B,,
33,A,,
34,B,,
35,B,,
36,A,,
37,B,,
38,B,,
39,B,,
40,A,,
41,A,,
42,B,,
43,B,,
44,A,,
45,B,,
46,A,,
47,B,,
48,A,,
49,B,,
50,A,,
51,A,,
52,A,,
53,B,,
54,B,,
55,B,,
56,A,,
57,B,,
58,A,,
59,A,,
60,A,,
61,B,,
62,B,,
63,A,,
64,A,,
65,B,,
66,A,,
67,A,,
68,A,,
69,B,,
70,B,,
71,B,,
72,B,,
73,B,,
74,A,,
75,B,,
76,B,,
77,A,,
78,A,,
79,A,,
80,A,,
81,A,,
82,B,,
83,B,,
84,B,,
85,A,,
86,B,,
87,B,,
88,B,,
89,A,,
90,A,,
91,A,,
92,A,,
93,B,,
94,A,,
95,A,,
96,A,,
97,B,,
98,A,,
99,A,,
100,A,,
101,A,,
102,B,,
103,B,,
104,B,,
105,A,,
106,B,,
107,B,,
108,A,,
109,A,,
110,A,,
111,B,,
112,B,,
113,B,,
114,A,,
115,B,,
116,A,,
117,A,,
118,A,,
119,A,,
120,B,,
121,B,,
122,A,,
123,A,,
124,B,,
125,B,,
126,B,,
127,B,,
128,B,,
129,A,,
130,B,,
131,B,,
132,A,,
133,B,,
134,A,,
135,B,,
136,A,,
137,B,,
138,B,,
139,A,,
140,A,,
141,A,,
142,A,,
143,A,,
144,B,,
145,B,,
146,B,,
147,B,,
148,B,*,
149,B,,
150,B,,
151,B,,
152,B,,
153,B,,
154,B,,
155,B,,
156,A,,
157,A,,
158,A,,
159,A,,
160,A,,
161,A,,
162,B,,
163,B,,
164,A,,
165,B,,
166,A,,
167,B,,
168,A,,
169,B,,
170,B,,
171,B,,
172,B,,
173,A,,
174,B,,
175,A,,
176,B,,
177,A,,
178,B,,
179,B,,
180,B,,
181,B,,
182,A,,
183,B,,
184,A,,
185,B,,
186,A,,
187,A,,
188,A,,
189,A,,
190,A,,
191,A,,
192,A,,
193,B,,
194,B,,
195,B,,
196,A,,
197,A,,
198,B,,
199,A,,
200,B,,
201,B,,
202,A,, 
203,A,,
204,B,,
205,A,,
206,B,,
207,B,,
208,A,,
209,B,,
210,B,,
211,A,,
212,B,,
213,A,,
214,B,,
215,A,,
216,A,,
217,B,,
218,A,,
219,A,,
220,B,,
221,A,,
222,B,,
223,B,,
224,A,,
225,A,,
226,A,,
227,B,,
228,A,,
229,B,,
230,B,,
231,A,,
232,A,,
233,B,,
234,B,,
235,B,,
236,A,,
237,A,,
238,B,,
239,B,,
240,A,,
241,A,,
242,B,,
243,B,,
244,A,,
245,A,,
246,B,,
247,B,,
248,A,,
249,A,,
